"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","temp"
300,6.3333e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
301,6.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
302,6.6667e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
303,7.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
304,7.0000e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
305,7.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
306,7.3333e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
307,7.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
308,7.6667e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
309,8.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
310,8.0000e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
311,-1.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
312,-2.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
313,-1.6667e+02,-1.2500e+02,-2.3250e+02,3.0005e+02
314,-2.0000e+02,-1.2500e+02,-2.3250e+02,3.0004e+02
315,-1.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
316,-1.3333e+02,-1.2500e+02,-2.3250e+02,3.0007e+02
317,-1.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
318,-1.0000e+02,-1.2500e+02,-2.3250e+02,3.0011e+02
319,-6.6667e+01,-1.2500e+02,-2.5000e+02,3.0000e+02
320,-6.6667e+01,-1.2500e+02,-2.3250e+02,3.0017e+02
321,-3.3333e+01,-1.2500e+02,-2.5000e+02,3.0000e+02
322,-3.3333e+01,-1.2500e+02,-2.3250e+02,3.0023e+02
323,0.0000e+00,-1.2500e+02,-2.5000e+02,3.0000e+02
324,0.0000e+00,-1.2500e+02,-2.3250e+02,3.0029e+02
325,3.3333e+01,-1.2500e+02,-2.5000e+02,3.0000e+02
326,3.3333e+01,-1.2500e+02,-2.3250e+02,3.0034e+02
327,6.6667e+01,-1.2500e+02,-2.5000e+02,3.0000e+02
328,6.6667e+01,-1.2500e+02,-2.3250e+02,3.0037e+02
329,1.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
330,1.0000e+02,-1.2500e+02,-2.3250e+02,3.0037e+02
331,1.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
332,1.3333e+02,-1.2500e+02,-2.3250e+02,3.0034e+02
333,1.6667e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
334,1.6667e+02,-1.2500e+02,-2.3250e+02,3.0029e+02
335,2.0000e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
336,2.0000e+02,-1.2500e+02,-2.3250e+02,3.0023e+02
337,2.3333e+02,-1.2500e+02,-2.5000e+02,3.0000e+02
